id,name,section,provisional,country,url,image,pdf
127,SUSSEX SPANIEL,Flushing Dogs,,GREAT BRITAIN,http://www.fci.be/en/nomenclature/SUSSEX-SPANIEL-127.html,http://www.fci.be/Nomenclature/Illustrations/127g08.jpg,http://www.fci.be/Nomenclature/Standards/127g08-en.pdf
128,KING CHARLES SPANIEL,English Toy Spaniels,,GREAT BRITAIN,http://www.fci.be/en/nomenclature/KING-CHARLES-SPANIEL-128.html,http://www.fci.be/Nomenclature/Illustrations/128g09.jpg,http://www.fci.be/Nomenclature/Standards/128g09-en.pdf
129,SMÅLANDSSTÖVARE,Scent hounds,,SWEDEN,http://www.fci.be/en/nomenclature/SMALANDSSTOVARE-129.html,http://www.fci.be/Nomenclature/Illustrations/129g06.jpg,http://www.fci.be/Nomenclature/Standards/129g06-en.pdf
130,DREVER,Scent hounds,,SWEDEN,http://www.fci.be/en/nomenclature/DREVER-130.html,http://www.fci.be/Nomenclature/Illustrations/130g06.jpg,http://www.fci.be/Nomenclature/Standards/130g06-en.pdf
131,SCHILLERSTÖVARE,Scent hounds,,SWEDEN,http://www.fci.be/en/nomenclature/SCHILLERSTOVARE-131.html,http://www.fci.be/Nomenclature/Illustrations/131g06.jpg,http://www.fci.be/Nomenclature/Standards/131g06-en.pdf
132,HAMILTONSTÖVARE,Scent hounds,,SWEDEN,http://www.fci.be/en/nomenclature/HAMILTONSTOVARE-132.html,http://www.fci.be/Nomenclature/Illustrations/132g06.jpg,http://www.fci.be/Nomenclature/Standards/132g06-en.pdf
133,FRENCH POINTING DOG - GASCOGNE TYPE,Continental Pointing Dogs,,FRANCE,http://www.fci.be/en/nomenclature/FRENCH-POINTING-DOG-GASCOGNE-TYPE-133.html,,http://www.fci.be/Nomenclature/Standards/133g07-en.pdf
134,FRENCH POINTING DOG - PYRENEAN TYPE,Continental Pointing Dogs,,FRANCE,http://www.fci.be/en/nomenclature/FRENCH-POINTING-DOG-PYRENEAN-TYPE-134.html,,http://www.fci.be/Nomenclature/Standards/134g07-en.pdf
135,SWEDISH LAPPHUND,Nordic Watchdogs and Herders,,SWEDEN,http://www.fci.be/en/nomenclature/SWEDISH-LAPPHUND-135.html,,http://www.fci.be/Nomenclature/Standards/135g05-en.pdf
136,CAVALIER KING CHARLES SPANIEL,English Toy Spaniels,,GREAT BRITAIN,http://www.fci.be/en/nomenclature/CAVALIER-KING-CHARLES-SPANIEL-136.html,http://www.fci.be/Nomenclature/Illustrations/136g09.jpg,http://www.fci.be/Nomenclature/Standards/136g09-en.pdf
137,PYRENEAN MOUNTAIN DOG,Molossian type,,FRANCE,http://www.fci.be/en/nomenclature/PYRENEAN-MOUNTAIN-DOG-137.html,http://www.fci.be/Nomenclature/Illustrations/137g02.jpg,http://www.fci.be/Nomenclature/Standards/137g02-en.pdf
138,PYRENEAN SHEEPDOG - SMOOTH FACED,Sheepdogs,,FRANCE,http://www.fci.be/en/nomenclature/PYRENEAN-SHEEPDOG-SMOOTH-FACED-138.html,http://www.fci.be/Nomenclature/Illustrations/138g01.jpg,http://www.fci.be/Nomenclature/Standards/138g01-en.pdf
139,IRISH TERRIER,Large and medium sized Terriers,,IRELAND,http://www.fci.be/en/nomenclature/IRISH-TERRIER-139.html,,http://www.fci.be/Nomenclature/Standards/139g03-en.pdf
140,BOSTON TERRIER,Small Molossian type Dogs,,UNITED STATES OF AMERICA,http://www.fci.be/en/nomenclature/BOSTON-TERRIER-140.html,,http://www.fci.be/Nomenclature/Standards/140g09-en.pdf
141,LONG-HAIRED PYRENEAN SHEEPDOG,Sheepdogs,,FRANCE,http://www.fci.be/en/nomenclature/LONG-HAIRED-PYRENEAN-SHEEPDOG-141.html,http://www.fci.be/Nomenclature/Illustrations/141g01.jpg,http://www.fci.be/Nomenclature/Standards/141g01-en.pdf
142,SLOVAKIAN CHUVACH,Sheepdogs,,SLOVAKIA,http://www.fci.be/en/nomenclature/SLOVAKIAN-CHUVACH-142.html,,http://www.fci.be/Nomenclature/Standards/142g01-en.pdf
143,DOBERMANN,Pinscher and Schnauzer type,,GERMANY,http://www.fci.be/en/nomenclature/DOBERMANN-143.html,http://www.fci.be/Nomenclature/Illustrations/143g02.jpg,http://www.fci.be/Nomenclature/Standards/143g02-en.pdf
144,BOXER,Molossian type,,GERMANY,http://www.fci.be/en/nomenclature/BOXER-144.html,http://www.fci.be/Nomenclature/Illustrations/144g02.jpg,http://www.fci.be/Nomenclature/Standards/144g02-en.pdf
145,LEONBERGER,Molossian type,,GERMANY,http://www.fci.be/en/nomenclature/LEONBERGER-145.html,,http://www.fci.be/Nomenclature/Standards/145g02-en.pdf
146,RHODESIAN RIDGEBACK,Related breeds,,SOUTH AFRICA,http://www.fci.be/en/nomenclature/RHODESIAN-RIDGEBACK-146.html,,http://www.fci.be/Nomenclature/Standards/146g06-en.pdf
147,ROTTWEILER,Molossian type,,GERMANY,http://www.fci.be/en/nomenclature/ROTTWEILER-147.html,,http://www.fci.be/Nomenclature/Standards/147g02-en.pdf
148,DACHSHUND,,,GERMANY,http://www.fci.be/en/nomenclature/DACHSHUND-148.html,http://www.fci.be/Nomenclature/Illustrations/148g04-1.jpg,http://www.fci.be/Nomenclature/Standards/148g04-en.pdf
149,BULLDOG,Molossian type,,GREAT BRITAIN,http://www.fci.be/en/nomenclature/BULLDOG-149.html,http://www.fci.be/Nomenclature/Illustrations/149g02.jpg,http://www.fci.be/Nomenclature/Standards/149g02-en.pdf
150,SERBIAN HOUND,Scent hounds,,SERBIA,http://www.fci.be/en/nomenclature/SERBIAN-HOUND-150.html,http://www.fci.be/Nomenclature/Illustrations/150g06.jpg,http://www.fci.be/Nomenclature/Standards/150g06-en.pdf
151,ISTRIAN SHORT-HAIRED HOUND,Scent hounds,,CROATIA,http://www.fci.be/en/nomenclature/ISTRIAN-SHORT-HAIRED-HOUND-151.html,http://www.fci.be/Nomenclature/Illustrations/151g06.jpg,http://www.fci.be/Nomenclature/Standards/151g06-en.pdf
152,ISTRIAN WIRE-HAIRED HOUND,Scent hounds,,CROATIA,http://www.fci.be/en/nomenclature/ISTRIAN-WIRE-HAIRED-HOUND-152.html,http://www.fci.be/Nomenclature/Illustrations/152g06.jpg,http://www.fci.be/Nomenclature/Standards/152g06-en.pdf
153,DALMATIAN,Related breeds,,CROATIA,http://www.fci.be/en/nomenclature/DALMATIAN-153.html,http://www.fci.be/Nomenclature/Illustrations/153g06.jpg,http://www.fci.be/Nomenclature/Standards/153g06-en.pdf
154,POSAVATZ HOUND,Scent hounds,,CROATIA,http://www.fci.be/en/nomenclature/POSAVATZ-HOUND-154.html,http://www.fci.be/Nomenclature/Illustrations/154g06.jpg,http://www.fci.be/Nomenclature/Standards/154g06-en.pdf
155,BOSNIAN BROKEN-HAIRED HOUND - CALLED BARAK,Scent hounds,,BOSNIA AND HERZEGOVINA,http://www.fci.be/en/nomenclature/BOSNIAN-BROKEN-HAIRED-HOUND-CALLED-BARAK-155.html,http://www.fci.be/Nomenclature/Illustrations/155g06.jpg,http://www.fci.be/Nomenclature/Standards/155g06-en.pdf
156,COLLIE ROUGH,Sheepdogs,,GREAT BRITAIN,http://www.fci.be/en/nomenclature/COLLIE-ROUGH-156.html,http://www.fci.be/Nomenclature/Illustrations/156g01.jpg,http://www.fci.be/Nomenclature/Standards/156g01-en.pdf
157,BULLMASTIFF,Molossian type,,GREAT BRITAIN,http://www.fci.be/en/nomenclature/BULLMASTIFF-157.html,,http://www.fci.be/Nomenclature/Standards/157g02-en.pdf
158,GREYHOUND,Short-haired Sighthounds,,GREAT BRITAIN,http://www.fci.be/en/nomenclature/GREYHOUND-158.html,http://www.fci.be/Nomenclature/Illustrations/158g10.jpg,http://www.fci.be/Nomenclature/Standards/158g10-en.pdf
159,ENGLISH FOXHOUND,Scent hounds,,GREAT BRITAIN,http://www.fci.be/en/nomenclature/ENGLISH-FOXHOUND-159.html,,http://www.fci.be/Nomenclature/Standards/159g06-en.pdf
160,IRISH WOLFHOUND,Rough-haired Sighthounds,,IRELAND,http://www.fci.be/en/nomenclature/IRISH-WOLFHOUND-160.html,,http://www.fci.be/Nomenclature/Standards/160g10-en.pdf
