id,name,group,section,provisional,country,url,image,pdf
219,Французький Триколірний Гончак,Гончаки по кров’яному сліду та споріднені породи,Гончаки по кров’яному сліду,,France,https://uku.com.ua/plem_work/breed_fci/06.html,,
220,Французький Біло-Чорний Гончак,Гончаки по кров’яному сліду та споріднені породи,Гончаки по кров’яному сліду,,France,https://uku.com.ua/plem_work/breed_fci/06.html,,
221,Фризійський Водяний Собака,Ретривери - Спанієлі - Водяні Собаки,Водяні собаки,,The Netherlands,https://uku.com.ua/plem_work/breed_fci/08.html,,
222,Стабіхун - Фризійський Лягавий Собака,Лягаві Собаки,Континентальні Лягаві Собаки,,The Netherlands,https://uku.com.ua/plem_work/breed_fci/07.html,,
223,Нідерландська Вівчарка,Пастуші собаки (вівчарки) та скотогонні собаки (крім швейцарських скотогонних собак),Пастуші собаки (вівчарки),,The Netherlands,https://uku.com.ua/plem_work/breed_fci/01.html,,
224,Дрентський Куріпковий Собака,Лягаві Собаки,Континентальні Лягаві Собаки,,The Netherlands,https://uku.com.ua/plem_work/breed_fci/07.html,,
225,Філа Бразилейро,Пінчери та шнауцери - Молоси та Швейцарські Гірські та Скотогонні собаки,Молоси,,Brasil,https://uku.com.ua/plem_work/breed_fci/02.html,,
226,Ландзир,Пінчери та шнауцери - Молоси та Швейцарські Гірські та Скотогонні собаки,Молоси,,Germany / Switzerland,https://uku.com.ua/plem_work/breed_fci/02.html,,
227,Лхаса Апсо,Собаки-компаньйони та декоративні собаки,Тибетські Породи,,Tibet (China),https://uku.com.ua/plem_work/breed_fci/09.html,,
228,Афганський Хорт,Хорти,Довгошерсті Хорти,,Afghanistan,https://uku.com.ua/plem_work/breed_fci/10.html,,
229,Сербський Триколірний Гончак,Гончаки по кров’яному сліду та споріднені породи,Гончаки по кров’яному сліду,,Serbia,https://uku.com.ua/plem_work/breed_fci/06.html,,
230,Тибетський Мастиф,Пінчери та шнауцери - Молоси та Швейцарські Гірські та Скотогонні собаки,Молоси,,Tibet (China),https://uku.com.ua/plem_work/breed_fci/02.html,,
231,Тибетський Спанієль,Собаки-компаньйони та декоративні собаки,Тибетські Породи,,Tibet (China),https://uku.com.ua/plem_work/breed_fci/09.html,,
232,Німецький Штіхельхаар,Лягаві Собаки,Континентальні Лягаві Собаки,,Germany,https://uku.com.ua/plem_work/breed_fci/07.html,,
233,Левовий Собачка,Собаки-компаньйони та декоративні собаки,Болонки та споріднені породи,,France,https://uku.com.ua/plem_work/breed_fci/09.html,,
234,Мексиканський Голий Собака,Шпіци та собаки примітивного типу,Собаки примітивного типу,,Mexico,https://uku.com.ua/plem_work/breed_fci/05.html,,
235,Німецький Дог,Пінчери та шнауцери - Молоси та Швейцарські Гірські та Скотогонні собаки,Молоси,,Germany,https://uku.com.ua/plem_work/breed_fci/02.html,,
236,Австралійський Шовковистий Тер’єр,Тер’єри,Той Тер’єри,,Australia,https://uku.com.ua/plem_work/breed_fci/03.html,,
237,Норвезький Бухунд,Шпіци та собаки примітивного типу,Північні Сторожові та Пастуші Собаки,,Norway,https://uku.com.ua/plem_work/breed_fci/05.html,,
238,Муді,Пастуші собаки (вівчарки) та скотогонні собаки (крім швейцарських скотогонних собак),Пастуші собаки (вівчарки),,Hungary,https://uku.com.ua/plem_work/breed_fci/01.html,,
239,Угорська Жорсткошерста Вижла,Лягаві Собаки,Континентальні Лягаві Собаки,,Hungary,https://uku.com.ua/plem_work/breed_fci/07.html,,
240,Угорський Хорт,Хорти,Короткошерсті Хорти,,Hungary,https://uku.com.ua/plem_work/breed_fci/10.html,,
241,Угорський Гончак - Трансильванський Гончак,Гончаки по кров’яному сліду та споріднені породи,Гончаки по кров’яному сліду,,Hungary,https://uku.com.ua/plem_work/breed_fci/06.html,,
242,Норвезький Елкхунд Сірий (Норвезький Лосиний Собака),Шпіци та собаки примітивного типу,Північні Мисливські Собаки,,Norway,https://uku.com.ua/plem_work/breed_fci/05.html,,
243,Аляскинський Маламут,Шпіци та собаки примітивного типу,Північні Їздові Собаки,,USA,https://uku.com.ua/plem_work/breed_fci/05.html,,
244,Словацький Копов - Словацький Гончак,Гончаки по кров’яному сліду та споріднені породи,Гончаки по кров’яному сліду,,Slovakia,https://uku.com.ua/plem_work/breed_fci/06.html,,
245,Богемський Жорсткошерстий Лягавий Грифон - Чеський Фоусек,Лягаві Собаки,Континентальні Лягаві Собаки,,Czech Republic,https://uku.com.ua/plem_work/breed_fci/07.html,,
246,Чеський Тер’єр,Тер’єри,Тер’єри малого розміру,,Czech Republic,https://uku.com.ua/plem_work/breed_fci/03.html,,
247,Атласький Гірський Собака (Аїді),Пінчери та шнауцери - Молоси та Швейцарські Гірські та Скотогонні собаки,Молоси,,Morocco,https://uku.com.ua/plem_work/breed_fci/02.html,,
248,Фараоновий Собака,Шпіци та собаки примітивного типу,Собаки примітивного типу,,Malta / Great Britain,https://uku.com.ua/plem_work/breed_fci/05.html,,
249,Майорський Мастиф (Ка Де Бо),Пінчери та шнауцери - Молоси та Швейцарські Гірські та Скотогонні собаки,Молоси,,Spain,https://uku.com.ua/plem_work/breed_fci/02.html,,
250,Гаванська Болонка - Гаванез,Собаки-компаньйони та декоративні собаки,Болонки та споріднені породи,,Western Mediterranean Basin,https://uku.com.ua/plem_work/breed_fci/09.html,,
251,Польська Вівчарка Низинна,Пастуші собаки (вівчарки) та скотогонні собаки (крім швейцарських скотогонних собак),Пастуші собаки (вівчарки),,Poland,https://uku.com.ua/plem_work/breed_fci/01.html,,
252,Польська Вівчарка Підгалянська,Пастуші собаки (вівчарки) та скотогонні собаки (крім швейцарських скотогонних собак),Пастуші собаки (вівчарки),,Poland,https://uku.com.ua/plem_work/breed_fci/01.html,,
